Airport,Date,Hour,Temp,WindChill,Humd,Pressure,Visib,WindSpeed,WindDir,Precipitation,Events,Conditions
K3A6,2016-2-1,12:51 AM,47.0,43.0,42.0,28.94,10.0,8.0,NW,0.0,N/A,Cloudy
K3A6,2016-2-1,1:51 AM,47.0,44.0,44.0,28.94,10.0,7.0,NW,0.0,N/A,Cloudy
K3A6,2016-2-1,2:51 AM,47.0,43.0,44.0,28.95,10.0,9.0,WNW,0.0,N/A,Cloudy
K3A6,2016-2-1,3:51 AM,46.0,46.0,50.0,28.97,10.0,3.0,WNW,0.0,N/A,Partly Cloudy
K3A6,2016-2-1,4:51 AM,43.0,43.0,58.0,28.99,10.0,0.0,CALM,0.0,N/A,Fair
K3A6,2016-2-1,5:51 AM,41.0,41.0,65.0,29.03,10.0,0.0,CALM,0.0,N/A,Fair
K3A6,2016-2-1,6:51 AM,39.0,35.0,73.0,29.07,10.0,6.0,N,0.0,N/A,Partly Cloudy
K3A6,2016-2-1,7:51 AM,46.0,40.0,42.0,29.11,10.0,13.0,NNW,0.0,N/A,Fair
K3A6,2016-2-1,8:51 AM,47.0,40.0,41.0,29.14,10.0,18.0,N,0.0,N/A,Fair
K3A6,2016-2-1,9:51 AM,49.0,44.0,36.0,29.17,10.0,14.0,NNW,0.0,N/A,Fair
K3A6,2016-2-1,10:51 AM,51.0,51.0,32.0,29.17,10.0,15.0,N,0.0,N/A,Fair
K3A6,2016-2-1,11:51 AM,52.0,52.0,32.0,29.18,10.0,24.0,N,0.0,N/A,Fair / Windy
K3A6,2016-2-1,12:51 PM,53.0,53.0,32.0,29.19,10.0,25.0,N,0.0,N/A,Fair / Windy
K3A6,2016-2-1,1:51 PM,52.0,52.0,32.0,29.17,10.0,31.0,N,0.0,N/A,Partly Cloudy / Windy
K3A6,2016-2-1,2:51 PM,53.0,53.0,29.0,29.19,10.0,26.0,N,0.0,N/A,Fair / Windy
K3A6,2016-2-1,3:51 PM,52.0,52.0,30.0,29.22,10.0,28.0,N,0.0,N/A,Fair / Windy
K3A6,2016-2-1,4:51 PM,50.0,50.0,36.0,29.24,10.0,26.0,N,0.0,N/A,Partly Cloudy / Windy
K3A6,2016-2-1,5:51 PM,49.0,42.0,38.0,29.28,10.0,22.0,N,0.0,N/A,Partly Cloudy / Windy
K3A6,2016-2-1,6:51 PM,48.0,43.0,37.0,29.26,10.0,12.0,N,0.0,N/A,Partly Cloudy
K3A6,2016-2-1,7:51 PM,49.0,44.0,31.0,29.3,10.0,14.0,NNW,0.0,N/A,Cloudy
K3A6,2016-2-1,8:51 PM,47.0,45.0,39.0,29.29,10.0,5.0,VAR,0.0,N/A,Partly Cloudy
K3A6,2016-2-1,9:51 PM,46.0,46.0,39.0,29.31,10.0,0.0,CALM,0.0,N/A,Fair
K3A6,2016-2-1,10:51 PM,47.0,43.0,37.0,29.32,10.0,8.0,N,0.0,N/A,Partly Cloudy
K3A6,2016-2-1,11:51 PM,46.0,42.0,37.0,29.32,10.0,7.0,NW,0.0,N/A,Partly Cloudy
K3A6,2016-2-2,12:51 AM,46.0,42.0,35.0,29.33,10.0,8.0,WNW,0.0,N/A,Partly Cloudy
K3A6,2016-2-2,1:51 AM,44.0,44.0,40.0,29.33,10.0,3.0,VAR,0.0,N/A,Partly Cloudy
K3A6,2016-2-2,2:51 AM,44.0,40.0,43.0,29.32,10.0,7.0,NNE,0.0,N/A,Partly Cloudy
K3A6,2016-2-2,3:51 AM,44.0,41.0,40.0,29.29,10.0,6.0,VAR,0.0,N/A,Fair
K3A6,2016-2-2,4:51 AM,42.0,39.0,43.0,29.3,10.0,5.0,WSW,0.0,N/A,Fair
K3A6,2016-2-2,5:51 AM,46.0,41.0,35.0,29.31,10.0,10.0,N,0.0,N/A,Fair
K3A6,2016-2-2,6:51 AM,41.0,41.0,49.0,29.34,10.0,3.0,NW,0.0,N/A,Fair
K3A6,2016-2-2,7:51 AM,44.0,44.0,45.0,29.35,10.0,0.0,CALM,0.0,N/A,Fair
K3A6,2016-2-2,8:51 AM,48.0,48.0,39.0,29.36,10.0,0.0,CALM,0.0,N/A,Fair
K3A6,2016-2-2,9:51 AM,53.0,53.0,30.0,29.36,10.0,3.0,WNW,0.0,N/A,Fair
K3A6,2016-2-2,10:51 AM,57.0,57.0,26.0,29.34,10.0,3.0,VAR,0.0,N/A,Fair
K3A6,2016-2-2,11:51 AM,59.0,59.0,17.0,29.31,10.0,0.0,CALM,0.0,N/A,Fair
